"X"	"Y"	"NUCLI"
10.3941332342802	70.1100613940507	84
6.89985036622966	71.109410693869	84
1.90801769623067	68.1113628046587	84
-1.08708190475591	61.6155923940241	84
-2.08544843876734	54.6201473344117	84
-0.0887153707444668	45.6260036937892	84
1.40883443027269	37.1315346937627	84
0.909651163266972	33.6338121639565	84
4.90311729826499	27.6377163939178	84
12.8900495692506	22.6409699246287	84
21.8753483742476	16.1451995139942	84
31.3598304452607	7.15105587430298	84
35.852479848254	-1.3434131257236	84
39.3467627162463	-9.33820748608559	84
44.3385953862453	-17.8326764758676	84
50.8279778562719	-24.3284468958154	84
53.8230774572585	-30.8242173055187	84
58.3157268602517	-37.3199877161533	84
61.3108264612383	-46.3141313558444	84
61.810009728244	-58.3063228856772	84
62.8083762622555	-74.2959115961567	84
66.3026591312373	-85.2887538261712	84
72.2928583342582	-89.7858256557956	84
76.2863244692562	-80.2920073559508	84
78.7822408042266	-69.7988397758454	84
81.7773404062609	-57.8066482460126	84
86.7691730752704	-42.3167341854423	84
91.2618224772741	-27.8261694256216	84
96.2536551472731	-14.8346285959706	84
101.74467108323	-8.33885818533599	84
106.237320485234	-1.84308777563274	84
103.741404151253	-0.344063836149871	84
107.734870286251	4.65268263407052	84
114.224252756278	9.6494291042909	84
119.715268692235	14.6461755745113	84
123.70873482828	20.1425966946408	84
123.70873482828	25.639017813839	84
122.211185027263	33.1341375140473	84
120.713635226246	40.129582574591	84
119.715268692235	46.6253529842943	84
118.217718892265	53.6207980439067	84
115.721802557237	60.1165684545413	84
110.729969888227	64.6136402739212	84
106.73650375224	69.6103867441416	84
101.74467108323	74.1074585737661	84
94.2569220792502	81.1029036343098	84
86.2699898082647	84.1009515142068	84
75.7871412022505	84.1009515142068	84
72.2928583342582	86.5993247441947	84
67.3010256652487	87.0989993941039	84
63.8067427962669	88.5980233345181	84
58.8149101272575	88.0983486846089	84
55.3206272582756	86.5993247441947	84
53.8230774572585	87.598674044013	84
47.8328782542376	83.6012768642977	84
42.8410455852281	78.1048557441682	84
37.3500296492712	73.6077839238569	84
25.3696312422398	68.6110374545678	84
16.8835157042486	67.6116881640628	84
13.888416103262	69.110712104477	84
